timestamp,x,y,theta
1778096748.896085,0.0,-0.0,0.0
1778096749.0223792,0.0002165856256644016,0.000256725010255504,-6.273871401480636
1778096749.138027,0.0002814392589277998,0.0004039361542827651,-6.2745817757561575
1778096749.245044,0.0005141301503299028,-8.09599924416723e-05,-0.00041271344118998243
1778096749.352954,0.00041533972414021467,4.155307098083732e-06,-0.010147861816824921
1778096749.5288143,0.00014901351354395267,0.00019092161128637044,-6.274612878185199
1778096749.6670837,0.0002681652794699847,-8.641181239128266e-05,-0.010500120994848317
1778096749.7984552,0.0002053956883433808,0.000425920240363078,-6.274276408739723
1778096749.9224906,0.000332105592451844,0.00019413206372320728,-0.00025605848823806454
1778096750.038037,0.00031914606823286047,0.0002116529383963881,-0.0005402367209286218
1778096750.1690822,-2.6179344336204154e-05,0.00042763107770211366,-0.0009510417885114641
1778096750.3427558,0.00046660123847634623,-8.843199799818788e-05,-0.010521493887691857
1778096750.4747007,0.0002029650390476427,-7.988609725678608e-06,-0.0002897484001991302
1778096750.5886216,0.0005777104012949218,2.1451575836707143e-05,-0.00948849465540924
1778096750.7058437,0.0005777104012949218,2.1451575836707143e-05,-0.00948849465540924
1778096750.827407,0.0010185545911815077,0.00019945005018414717,-1.7892478876735396e-05
1778096750.9368982,0.03217564973322743,0.00048037373486570765,-0.019872265415618262
1778096751.034463,0.0580222258932583,-0.0010043357151077166,-0.020120723938922502
1778096751.1482022,0.06644065082799401,-0.0013379566773090222,-0.019965808682404607
1778096751.2548878,0.11158357484972455,-0.0028683351564501216,-0.0296690200036811
1778096751.3774252,0.15200146553515304,-0.004171083046553674,-0.03875030470393437
1778096751.521464,0.1824564766627225,-0.006343276182757295,-0.057311788301141586
1778096751.644888,0.23065131067017278,-0.00890177365120912,-0.06724673077852339
1778096751.8612826,0.3028838340819901,-0.014334281542488045,-0.0669005905376765
1778096751.966178,0.3202910952128383,-0.015005230857893551,-0.06796400213261133
1778096752.0783918,0.35266515659896003,-0.017792713741781197,-0.08831164662161273
1778096752.2177792,0.3780227203200264,-0.020057609068743702,-0.07649536817682767
1778096752.3448064,0.410075713798029,-0.02284432074903661,-0.07946332543298729
1778096752.467203,0.41087529208056417,-0.022875619346527386,-0.07946041040297169
1778096752.5837238,0.41065323390187847,-0.02261106250967982,-0.08985249966376507
1778096752.6825848,0.41065323390187847,-0.02261106250967982,-0.08985249966376507
1778096752.7953937,0.410830935206676,-0.022362184917740432,-0.07943230576154914
1778096752.9352214,0.41329215302164907,-0.01862810212936564,-6.231658390177527
1778096753.0484757,0.4143404282546706,-0.008013935029616356,-5.859714331573688
1778096753.1510582,0.40879493337855893,0.005745562778019277,-5.398842362376815
1778096753.253846,0.40179718458153085,0.009495274284179442,-5.14176263382382
1778096753.3550832,0.3926893814941008,0.01228925728710253,-4.841378546864106
1778096753.460542,0.3911545460887692,0.012646079626909229,-4.783097571948918
1778096753.5638204,0.3907808357037098,0.012168650695325248,-4.778099438615805
1778096753.670215,0.39115572248332964,0.012409094477202388,-4.7849286744936625
1778096753.76903,0.39061687115249843,0.01195104296189374,-4.771634512705594
1778096753.869546,0.3907131930765905,0.012000385371598346,-4.777386042775285
1778096753.9882185,0.3916215614575977,0.022826696442959402,-4.791041172819574
1778096754.1887925,0.3956138920530651,0.06865066156262113,-4.804665232314031
1778096754.8560023,0.4157635009340026,0.2831244267355842,-4.831078340335272
1778096755.042277,0.42034107923240105,0.3282435589985447,-4.8318586204374405
1778096755.3028884,0.4302285550609078,0.42250252831984314,-4.844159837598536
1778096755.5126,0.4316343743506713,0.4371880396626832,-4.852553384410938
1778096755.635115,0.43161485072013156,0.437348790219074,-4.854184341719136
1778096755.7440724,0.43161485072013156,0.437348790219074,-4.854184341719136
1778096755.8493562,0.43161485072013156,0.437348790219074,-4.854184341719136
1778096755.9466345,0.4289863546156732,0.4394841600467133,-4.787512008374856
1778096756.0428467,0.4265927860417845,0.4396929403296852,-4.720907135083157
1778096756.1411543,0.41606107146921634,0.4407066261521306,-4.391108062865724
1778096756.2312727,0.4060953653632051,0.43658998738712623,-4.030508581858684
1778096756.3364334,0.4037147747049276,0.4351943738536387,-3.953978965840251
1778096756.4413311,0.39848585304998135,0.427558933162942,-3.62242473447181
1778096756.554405,0.4011501465162768,0.4170699583860076,-3.3397017193122096
1778096756.667366,0.4028291114190103,0.4147350552227612,-3.2749247225690814
1778096756.7924602,0.4031496724503929,0.4147281720191771,-3.262733632473381
1778096756.908374,0.40330993799300274,0.4147247452462772,-3.263339236979281
1778096757.01558,0.40330993799300274,0.4147247452462772,-3.263339236979281
1778096757.112661,0.40156390716797163,0.4145977723004065,-3.2566435164682965
1778096757.8942988,0.18751367692328277,0.4433076250139302,-3.3332313830353155
1778096757.9919727,0.17847015556497536,0.4449194682449485,-3.3278255192237514
1778096758.3606114,0.0499018195345934,0.46499427576331437,-3.336651149502252
1778096758.4895954,0.0405039333418246,0.4671258320262649,-3.3280510686744944
1778096759.2700021,-0.025068162236282457,0.4706225750999487,-3.1195413623333392
1778096759.3884327,-0.015353010254987278,0.46444064227503123,-2.8602284076334357
1778096759.5252626,-0.004717140969738649,0.46401946063919686,-2.710185031414095
1778096760.9626737,0.05630233474978388,0.46265885131653534,-1.7327804936602023
1778096761.5519903,0.030222374958004262,0.3134496950724841,-1.8019650741547775
1778096762.3673491,-0.0169400599601361,0.10165807097950551,-1.8163746459582348
1778096762.490329,-0.017184267702514137,0.1015789554577627,-1.8165193493612084
1778096762.603575,-0.017097442480303347,0.10170007635770441,-1.8166005442780926
1778096762.7260857,-0.016915621991007934,0.10168891577036203,-1.823412067684215
1778096762.841282,-0.010549507817280796,0.0986346036642803,-1.6020728471619579
